HMDB00906,HMDB0000906
HMDB00927,HMDB0000927
HMDB00929,HMDB0000929
HMDB00930,HMDB0000930
HMDB00939,HMDB0000939
HMDB00953,HMDB0000953
HMDB00954,HMDB0000954
HMDB00956,HMDB0000956
HMDB00958,HMDB0000958
HMDB00959,HMDB0000959
HMDB00975,HMDB0000975
HMDB00982,HMDB0000982
HMDB00991,HMDB0000991
HMDB01015,HMDB0001015
HMDB01020,HMDB0001020
HMDB01046,HMDB0001046
HMDB01049,HMDB0001049
HMDB01065,HMDB0001065
HMDB01078_1,HMDB0001078
HMDB01078_2,HMDB0001078
HMDB01107,HMDB0001107
HMDB01120,HMDB0001120
HMDB01123,HMDB0001123
HMDB01129_1,HMDB0001129
HMDB01129_2,HMDB0001129
HMDB01140,HMDB0001140
HMDB01149,HMDB0001149
HMDB01151,HMDB0001151
HMDB01184,HMDB0001184
HMDB01186,HMDB0001186
HMDB01197,HMDB0001197
HMDB01202,HMDB0001202
HMDB01209,HMDB0001209
HMDB01227,HMDB0001227
HMDB01248,HMDB0001248
HMDB01256,HMDB0001256
HMDB01257,HMDB0001257
HMDB01259,HMDB0001259
HMDB01264_1,HMDB0001264
HMDB01264_2,HMDB0001264
HMDB01266,HMDB0001266
HMDB01273,HMDB0001273
HMDB01294,HMDB0001294
HMDB01296_1,HMDB0001296
HMDB01296_2,HMDB0001296
HMDB01316,HMDB0001316
HMDB01341,HMDB0001341
HMDB01342,HMDB0001342
HMDB01368,HMDB0001368
HMDB01370_1,HMDB0001370
HMDB01370_2,HMDB0001370
HMDB01372,HMDB0001372
HMDB01389,HMDB0001389
HMDB01397,HMDB0001397
HMDB01398,HMDB0001398
HMDB01401_1,HMDB0001401
HMDB01401_2,HMDB0001401
HMDB01409,HMDB0001409
HMDB01413,HMDB0001413
HMDB01423_1,HMDB0001423
HMDB01423_2,HMDB0001423
HMDB01432,HMDB0001432
HMDB01434,HMDB0001434
HMDB01440,HMDB0001440
HMDB01476,HMDB0001476
HMDB01491_1,HMDB0001491
HMDB01491_2,HMDB0001491
HMDB01494,HMDB0001494
HMDB01505,HMDB0001505
HMDB01511,HMDB0001511
HMDB01520,HMDB0001520
HMDB01522,HMDB0001522
HMDB01538,HMDB0001538
HMDB01542,HMDB0001542
HMDB01548_1,HMDB0001548
HMDB01548_2,HMDB0001548
HMDB01563,HMDB0001563
HMDB01565,HMDB0001565
HMDB01644,HMDB0001644
HMDB01659,HMDB0001659
HMDB01786,HMDB0001786
HMDB01843,HMDB0001843
HMDB01844,HMDB0001844
HMDB01849,HMDB0001849
HMDB01850,HMDB0001850
HMDB01851,HMDB0001851
HMDB01857,HMDB0001857
HMDB01859,HMDB0001859
HMDB01860,HMDB0001860
HMDB01861,HMDB0001861
HMDB01862,HMDB0001862
HMDB01864,HMDB0001864
HMDB01866,HMDB0001866
HMDB01867,HMDB0001867
HMDB01868,HMDB0001868
HMDB01871_1,HMDB0001871
HMDB01871_2,HMDB0001871
HMDB01877,HMDB0001877
HMDB01878,HMDB0001878
HMDB01879,HMDB0001879
HMDB01885,HMDB0001885
HMDB01886,HMDB0001886
HMDB01888,HMDB0001888
HMDB01889,HMDB0001889
HMDB01890,HMDB0001890
HMDB01891,HMDB0001891
HMDB01894,HMDB0001894
HMDB01900,HMDB0001900
HMDB01904,HMDB0001904
HMDB01906,HMDB0001906
HMDB01921,HMDB0001921
HMDB01934,HMDB0001934
HMDB01936,HMDB0001936
HMDB01938,HMDB0001938
HMDB01942,HMDB0001942
HMDB01955,HMDB0001955
HMDB01964,HMDB0001964
HMDB01972,HMDB0001972
HMDB01975,HMDB0001975
HMDB01982,HMDB0001982
HMDB01987,HMDB0001987
HMDB01991,HMDB0001991
HMDB02001,HMDB0002001
HMDB02004,HMDB0002004
HMDB02006,HMDB0002006
HMDB02024,HMDB0002024
HMDB02026,HMDB0002026
HMDB02039,HMDB0002039
HMDB02043,HMDB0002043
HMDB02064,HMDB0002064
HMDB02072,HMDB0002072
HMDB02085,HMDB0002085
HMDB02097,HMDB0002097
HMDB02108,HMDB0002108
HMDB02123,HMDB0002123
HMDB02128,HMDB0002128
HMDB02141,HMDB0002141
HMDB02144,HMDB0002144
HMDB02182,HMDB0002182
HMDB02199,HMDB0002199
HMDB02205,HMDB0002205
HMDB02210,HMDB0002210
HMDB02229,HMDB0002229
HMDB02243,HMDB0002243
HMDB02327,HMDB0002327
HMDB02339,HMDB0002339
HMDB02359,HMDB0002359
HMDB02362,HMDB0002362
HMDB02404,HMDB0002404
HMDB02428,HMDB0002428
HMDB02455,HMDB0002455
HMDB02467,HMDB0002467
HMDB02511,HMDB0002511
HMDB02545_1,HMDB0002545
HMDB02545_2,HMDB0002545
HMDB02643,HMDB0002643
HMDB02649,HMDB0002649
HMDB02820,HMDB0002820
HMDB02923_1,HMDB0002923
HMDB02923_2,HMDB0002923
HMDB02928,HMDB0002928
HMDB02939,HMDB0002939
HMDB02994,HMDB0002994
HMDB03012,HMDB0003012
HMDB03072,HMDB0003072
HMDB03099,HMDB0003099
HMDB03119,HMDB0003119
HMDB03134,HMDB0003134
HMDB03152,HMDB0003152
HMDB03156_1,HMDB0003156
HMDB03156_2,HMDB0003156
HMDB03157,HMDB0003157
HMDB03213,HMDB0003213
HMDB03219,HMDB0003219
HMDB03243,HMDB0003243
HMDB03254_1,HMDB0003254
HMDB03254_2,HMDB0003254
HMDB03315,HMDB0003315
HMDB03331_1,HMDB0003331
HMDB03331_2,HMDB0003331
HMDB03332,HMDB0003332
HMDB03345_1,HMDB0003345
HMDB03345_2,HMDB0003345
HMDB03355,HMDB0003355
HMDB03361,HMDB0003361
HMDB03364,HMDB0003364
HMDB03366,HMDB0003366
HMDB03405,HMDB0003405
HMDB03406,HMDB0003406
HMDB03418,HMDB0003418
HMDB03466_1,HMDB0003466
HMDB03466_2,HMDB0003466
HMDB03540,HMDB0003540
HMDB03546,HMDB0003546
HMDB03553,HMDB0003553
HMDB03646,HMDB0003646
HMDB03656_1,HMDB0003656
HMDB03656_2,HMDB0003656
HMDB03671,HMDB0003671
HMDB03828,HMDB0003828
HMDB03843,HMDB0003843
HMDB04041,HMDB0004041
HMDB04094,HMDB0004094
HMDB04095,HMDB0004095
HMDB04122,HMDB0004122
HMDB04437,HMDB0004437
